Date,UPI Banks,Volume (Mn) By Customers,Value (Cr) by Customers,Month,Year,Sentiment_Score_GooglePay,Sentiment_Score_PhonePe,Sentiment_Score_Paytm
01-04-2017,Google Pay,1.678544713,3065.692692,April,2017,,,
02-04-2017,Google Pay,1.423208714,3110.892611,April,2017,,,
03-04-2017,Google Pay,1.60924774,3080.447128,April,2017,,,
04-04-2017,Google Pay,1.588376418,3089.287146,April,2017,,,
05-04-2017,Google Pay,1.537274857,3090.666494,April,2017,,,
06-04-2017,Google Pay,1.473370862,3098.167533,April,2017,,,
07-04-2017,Google Pay,1.501490144,3090.795466,April,2017,,,
08-04-2017,Google Pay,1.421904042,3095.345911,April,2017,,,
09-04-2017,Google Pay,1.389192592,3078.01715,April,2017,,,
10-04-2017,Google Pay,1.569561514,3096.086738,April,2017,,,
11-04-2017,Google Pay,1.390026428,3086.76766,April,2017,,,
12-04-2017,Google Pay,1.404975048,3075.496323,April,2017,,,
13-04-2017,Google Pay,1.578004832,3105.021256,April,2017,,,
14-04-2017,Google Pay,1.51701906,3103.011954,April,2017,,,
15-04-2017,Google Pay,1.544838689,3080.211739,April,2017,,,
16-04-2017,Google Pay,1.508002326,3115.036761,April,2017,,,
17-04-2017,Google Pay,1.53978224,3080.362249,April,2017,,,
18-04-2017,Google Pay,1.429927237,3077.691529,April,2017,,,
19-04-2017,Google Pay,1.451234153,3092.472512,April,2017,,,
20-04-2017,Google Pay,1.641917442,3085.486561,April,2017,,,
21-04-2017,Google Pay,1.600561696,3119.618337,April,2017,,,
22-04-2017,Google Pay,1.51191886,3092.163847,April,2017,,,
23-04-2017,Google Pay,1.5398618,3101.612963,April,2017,,,
24-04-2017,Google Pay,1.614992157,3101.883867,April,2017,,,
25-04-2017,Google Pay,1.564457216,3102.972686,April,2017,,,
26-04-2017,Google Pay,1.643782997,3085.695216,April,2017,,,
27-04-2017,Google Pay,1.269128454,3112.221664,April,2017,,,
28-04-2017,Google Pay,1.555710161,3110.931446,April,2017,,,
29-04-2017,Google Pay,1.558262748,3086.425855,April,2017,,,
30-04-2017,Google Pay,1.410986397,3133.861221,April,2017,,,
01-04-2017,PhonePe,2.011986345,3812.536761,April,2017,,,
02-04-2017,PhonePe,1.797900664,3811.41285,April,2017,,,
03-04-2017,PhonePe,2.078360134,3825.57723,April,2017,,,
04-04-2017,PhonePe,1.908185465,3805.951086,April,2017,,,
05-04-2017,PhonePe,1.962649904,3794.677419,April,2017,,,
06-04-2017,PhonePe,1.864555007,3799.965064,April,2017,,,
07-04-2017,PhonePe,1.836017219,3819.232026,April,2017,,,
08-04-2017,PhonePe,2.051362554,3806.761836,April,2017,,,
09-04-2017,PhonePe,2.018697175,3797.159832,April,2017,,,
10-04-2017,PhonePe,2.031386871,3820.475761,April,2017,,,
11-04-2017,PhonePe,1.909260669,3815.939055,April,2017,,,
12-04-2017,PhonePe,1.862527748,3803.492271,April,2017,,,
13-04-2017,PhonePe,1.946108389,3807.757909,April,2017,,,
14-04-2017,PhonePe,1.810461203,3794.629044,April,2017,,,
15-04-2017,PhonePe,1.958401048,3796.237946,April,2017,,,
16-04-2017,PhonePe,1.862465746,3793.517446,April,2017,,,
17-04-2017,PhonePe,2.016046561,3791.710658,April,2017,,,
18-04-2017,PhonePe,2.035972565,3820.482237,April,2017,,,
19-04-2017,PhonePe,2.164051483,3802.585669,April,2017,,,
20-04-2017,PhonePe,1.936528867,3807.196092,April,2017,,,
21-04-2017,PhonePe,2.047529153,3806.31316,April,2017,,,
22-04-2017,PhonePe,1.96991523,3808.046805,April,2017,,,
23-04-2017,PhonePe,1.924096936,3796.729664,April,2017,,,
24-04-2017,PhonePe,1.94503503,3805.192789,April,2017,,,
25-04-2017,PhonePe,1.960532256,3810.29059,April,2017,,,
26-04-2017,PhonePe,1.976812717,3792.390976,April,2017,,,
27-04-2017,PhonePe,1.814082618,3816.225794,April,2017,,,
28-04-2017,PhonePe,1.911287954,3818.449033,April,2017,,,
29-04-2017,PhonePe,1.942341662,3804.483482,April,2017,,,
30-04-2017,PhonePe,2.027915836,3800.893575,April,2017,,,
01-04-2017,Paytm Payments Bank App,0.513909107,527.1985626,April,2017,,,
02-04-2017,Paytm Payments Bank App,0.505561416,515.399613,April,2017,,,
03-04-2017,Paytm Payments Bank App,0.48039983,528.7758036,April,2017,,,
04-04-2017,Paytm Payments Bank App,0.282382536,537.8880578,April,2017,,,
05-04-2017,Paytm Payments Bank App,0.535227917,517.7830951,April,2017,,,
06-04-2017,Paytm Payments Bank App,0.313252579,516.7012604,April,2017,,,
07-04-2017,Paytm Payments Bank App,0.405516102,510.5105592,April,2017,,,
08-04-2017,Paytm Payments Bank App,0.436358488,509.9009014,April,2017,,,
09-04-2017,Paytm Payments Bank App,0.380539358,520.7795195,April,2017,,,
10-04-2017,Paytm Payments Bank App,0.472358971,523.932959,April,2017,,,
11-04-2017,Paytm Payments Bank App,0.475145412,532.8652687,April,2017,,,
12-04-2017,Paytm Payments Bank App,0.60048071,511.6342252,April,2017,,,
13-04-2017,Paytm Payments Bank App,0.517473547,527.4702737,April,2017,,,
14-04-2017,Paytm Payments Bank App,0.435343388,531.8654204,April,2017,,,
15-04-2017,Paytm Payments Bank App,0.455551386,514.7259565,April,2017,,,
16-04-2017,Paytm Payments Bank App,0.360249401,522.4325012,April,2017,,,
17-04-2017,Paytm Payments Bank App,0.435447869,508.3873826,April,2017,,,
18-04-2017,Paytm Payments Bank App,0.471940468,520.2251172,April,2017,,,
19-04-2017,Paytm Payments Bank App,0.500554196,533.8181523,April,2017,,,
20-04-2017,Paytm Payments Bank App,0.36579099,531.2522647,April,2017,,,
21-04-2017,Paytm Payments Bank App,0.275879605,537.1597902,April,2017,,,
22-04-2017,Paytm Payments Bank App,0.534998336,521.5702479,April,2017,,,
23-04-2017,Paytm Payments Bank App,0.427560409,538.7128908,April,2017,,,
24-04-2017,Paytm Payments Bank App,0.484208716,525.3718076,April,2017,,,
25-04-2017,Paytm Payments Bank App,0.477831997,528.9523045,April,2017,,,
26-04-2017,Paytm Payments Bank App,0.461186493,519.8177008,April,2017,,,
27-04-2017,Paytm Payments Bank App,0.356060696,535.3163893,April,2017,,,
28-04-2017,Paytm Payments Bank App,0.147684302,518.8603643,April,2017,,,
29-04-2017,Paytm Payments Bank App,0.452694952,527.4985714,April,2017,,,
30-04-2017,Paytm Payments Bank App,0.513274112,526.8802307,April,2017,,,
01-05-2017,Google Pay,1.71539945,3260.460936,May,2017,,,
02-05-2017,Google Pay,1.608061261,3249.555323,May,2017,,,
03-05-2017,Google Pay,1.599306702,3259.077036,May,2017,,,
04-05-2017,Google Pay,1.760166058,3250.013542,May,2017,,,
05-05-2017,Google Pay,1.844733495,3251.620033,May,2017,,,
06-05-2017,Google Pay,1.650933449,3253.714666,May,2017,,,
07-05-2017,Google Pay,1.550890432,3277.606491,May,2017,,,
08-05-2017,Google Pay,1.747999841,3256.957924,May,2017,,,
09-05-2017,Google Pay,1.66870123,3254.61616,May,2017,,,
10-05-2017,Google Pay,1.628536105,3251.887442,May,2017,,,
11-05-2017,Google Pay,1.887045233,3252.807318,May,2017,,,
12-05-2017,Google Pay,1.498217772,3242.805633,May,2017,,,
13-05-2017,Google Pay,1.798286731,3244.384372,May,2017,,,
14-05-2017,Google Pay,1.757388583,3267.095322,May,2017,,,
15-05-2017,Google Pay,1.736242866,3258.960585,May,2017,,,
16-05-2017,Google Pay,1.579100868,3253.378969,May,2017,,,
17-05-2017,Google Pay,1.665183968,3254.422379,May,2017,,,
18-05-2017,Google Pay,1.805330981,3236.070023,May,2017,,,
19-05-2017,Google Pay,1.710106211,3254.751755,May,2017,,,
20-05-2017,Google Pay,1.758451908,3274.562721,May,2017,,,
21-05-2017,Google Pay,1.676973882,3268.128509,May,2017,,,
22-05-2017,Google Pay,1.629949712,3260.201852,May,2017,,,
23-05-2017,Google Pay,1.586673789,3252.041671,May,2017,,,
24-05-2017,Google Pay,1.616432868,3252.848899,May,2017,,,
25-05-2017,Google Pay,1.731132199,3266.268967,May,2017,,,
26-05-2017,Google Pay,1.692688449,3234.834134,May,2017,,,
27-05-2017,Google Pay,1.552313595,3253.458306,May,2017,,,
28-05-2017,Google Pay,1.502886122,3248.014754,May,2017,,,
29-05-2017,Google Pay,1.696811101,3252.398749,May,2017,,,
30-05-2017,Google Pay,1.690588658,3249.514181,May,2017,,,
31-05-2017,Google Pay,1.629509829,3250.622792,May,2017,,,
01-05-2017,PhonePe,2.141261268,3991.745831,May,2017,,,
02-05-2017,PhonePe,2.146257894,4029.129633,May,2017,,,
03-05-2017,PhonePe,2.232802786,4014.165706,May,2017,,,
04-05-2017,PhonePe,2.177117535,4000.944901,May,2017,,,
05-05-2017,PhonePe,2.253688599,4004.758325,May,2017,,,
06-05-2017,PhonePe,2.14705033,4007.28008,May,2017,,,
07-05-2017,PhonePe,2.210668329,4016.379946,May,2017,,,
08-05-2017,PhonePe,2.216967525,4005.260581,May,2017,,,
09-05-2017,PhonePe,2.216945264,4016.427817,May,2017,,,
10-05-2017,PhonePe,1.928718572,4000.998098,May,2017,,,
11-05-2017,PhonePe,2.236534143,4014.659335,May,2017,,,
12-05-2017,PhonePe,2.196398015,4005.132627,May,2017,,,
13-05-2017,PhonePe,2.175779556,4013.42705,May,2017,,,
14-05-2017,PhonePe,2.09281173,3993.673805,May,2017,,,
15-05-2017,PhonePe,2.354593115,4006.152204,May,2017,,,
16-05-2017,PhonePe,2.158503984,4007.099891,May,2017,,,
17-05-2017,PhonePe,2.245304509,4014.345604,May,2017,,,
18-05-2017,PhonePe,2.193442139,4006.904459,May,2017,,,
19-05-2017,PhonePe,2.244207645,4010.457969,May,2017,,,
20-05-2017,PhonePe,2.204332522,4016.150169,May,2017,,,
21-05-2017,PhonePe,2.014485539,4011.97462,May,2017,,,
22-05-2017,PhonePe,2.171473594,4002.593372,May,2017,,,
23-05-2017,PhonePe,2.346101407,4015.936009,May,2017,,,
24-05-2017,PhonePe,2.046126122,4005.006287,May,2017,,,
25-05-2017,PhonePe,2.238437531,3999.592277,May,2017,,,
26-05-2017,PhonePe,2.054466164,4005.546459,May,2017,,,
27-05-2017,PhonePe,2.187536836,3983.844524,May,2017,,,
28-05-2017,PhonePe,2.214969629,3993.110255,May,2017,,,
29-05-2017,PhonePe,2.067823322,4026.23686,May,2017,,,
30-05-2017,PhonePe,2.187716887,3993.867296,May,2017,,,
31-05-2017,PhonePe,2.029413268,3989.732981,May,2017,,,
01-05-2017,Paytm Payments Bank App,0.457732852,542.658323,May,2017,,,
02-05-2017,Paytm Payments Bank App,0.685873607,549.8616702,May,2017,,,
03-05-2017,Paytm Payments Bank App,0.525449895,543.3689325,May,2017,,,
04-05-2017,Paytm Payments Bank App,0.398338402,538.6258087,May,2017,,,
05-05-2017,Paytm Payments Bank App,0.38096185,581.2214968,May,2017,,,
06-05-2017,Paytm Payments Bank App,0.664734471,553.7918357,May,2017,,,
07-05-2017,Paytm Payments Bank App,0.503968126,566.8491853,May,2017,,,
08-05-2017,Paytm Payments Bank App,0.422702188,539.469078,May,2017,,,
09-05-2017,Paytm Payments Bank App,0.517541796,536.1881722,May,2017,,,
10-05-2017,Paytm Payments Bank App,0.678069142,560.9597068,May,2017,,,
11-05-2017,Paytm Payments Bank App,0.421645481,569.3844234,May,2017,,,
12-05-2017,Paytm Payments Bank App,0.484954337,548.9939472,May,2017,,,
13-05-2017,Paytm Payments Bank App,0.270419866,555.5763718,May,2017,,,
14-05-2017,Paytm Payments Bank App,0.550423686,567.4145353,May,2017,,,
15-05-2017,Paytm Payments Bank App,0.544980612,541.9726359,May,2017,,,
16-05-2017,Paytm Payments Bank App,0.554454576,568.7019215,May,2017,,,
17-05-2017,Paytm Payments Bank App,0.435415495,554.2501515,May,2017,,,
18-05-2017,Paytm Payments Bank App,0.523089913,548.12602,May,2017,,,
19-05-2017,Paytm Payments Bank App,0.44250477,558.9021926,May,2017,,,
20-05-2017,Paytm Payments Bank App,0.378667635,549.4571482,May,2017,,,
21-05-2017,Paytm Payments Bank App,0.44628236,546.5597773,May,2017,,,
22-05-2017,Paytm Payments Bank App,0.375172342,556.0293278,May,2017,,,
23-05-2017,Paytm Payments Bank App,0.463930576,554.0960982,May,2017,,,
24-05-2017,Paytm Payments Bank App,0.491080955,547.4957376,May,2017,,,
25-05-2017,Paytm Payments Bank App,0.668363359,553.1664188,May,2017,,,
26-05-2017,Paytm Payments Bank App,0.392134537,552.7304238,May,2017,,,
27-05-2017,Paytm Payments Bank App,0.528271335,554.6877156,May,2017,,,
28-05-2017,Paytm Payments Bank App,0.476965729,543.4909399,May,2017,,,
29-05-2017,Paytm Payments Bank App,0.330506258,553.4201719,May,2017,,,
30-05-2017,Paytm Payments Bank App,0.413020024,539.8468096,May,2017,,,
31-05-2017,Paytm Payments Bank App,0.470993205,565.3809048,May,2017,,,
01-06-2017,Google Pay,2.076428479,3427.047034,June,2017,,,
02-06-2017,Google Pay,1.646401337,3421.963892,June,2017,,,
03-06-2017,Google Pay,1.893207972,3438.448556,June,2017,,,
04-06-2017,Google Pay,1.787230567,3441.402667,June,2017,,,
05-06-2017,Google Pay,1.78496727,3433.179157,June,2017,,,
06-06-2017,Google Pay,1.834669455,3398.665079,June,2017,,,
07-06-2017,Google Pay,1.843954086,3418.383684,June,2017,,,
08-06-2017,Google Pay,1.889727094,3435.014483,June,2017,,,
09-06-2017,Google Pay,1.672002007,3440.727563,June,2017,,,
10-06-2017,Google Pay,1.860237685,3441.141127,June,2017,,,
11-06-2017,Google Pay,1.716793249,3430.693035,June,2017,,,
12-06-2017,Google Pay,1.899902324,3434.866126,June,2017,,,
13-06-2017,Google Pay,1.883439432,3424.309778,June,2017,,,
14-06-2017,Google Pay,1.701787354,3434.898555,June,2017,,,
15-06-2017,Google Pay,1.921899329,3432.955018,June,2017,,,
16-06-2017,Google Pay,1.837893931,3444.105781,June,2017,,,
17-06-2017,Google Pay,1.787673188,3424.537225,June,2017,,,
18-06-2017,Google Pay,1.647066149,3429.933511,June,2017,,,
19-06-2017,Google Pay,1.786402844,3407.134462,June,2017,,,
20-06-2017,Google Pay,1.778909362,3413.461313,June,2017,,,
21-06-2017,Google Pay,1.978064509,3421.38378,June,2017,,,
22-06-2017,Google Pay,2.083041258,3431.689063,June,2017,,,
23-06-2017,Google Pay,1.861565448,3426.193673,June,2017,,,
24-06-2017,Google Pay,1.860926521,3432.598102,June,2017,,,
