date,review,rating,isEdited,userName,title
03-10-2017 15:53,"There are very few apps that one would search on the app store manually and write a review about. This is certainly one of those. Amazing app and basically lets you manage your multiple bank accounts with ease. Reminders feature for transferring money between salary and savings account is amazing. Tried the new credit card bill payment as well which is again a good value add. I am able to do all of my bill payments from broadband to dth payments through this. Airtel bill payment is still the only thing i have to do some other way though now. But kudos to everyone who made this app. A suggestion: can you guys allow creating reminders for paying broadband bills etc as this is a constant amount

Cheers 👍",5,FALSE,Amit Prabhu,Awesome app
11-11-2017 09:39,"I had a problem with postpaid bill payment and i raised a ticket . It has been said executive will call you within 24 hours but it has been 6 days. I also raised a ticket regarding cashback issue but no response. When i call the customer support , I always hear our executives are busy assisting other customers and once i waited for half hour but no one picked up.. such a pathetic experience....",5,FALSE,Ashik dharba,Poor customer service
12-11-2017 17:47,"They might promise you cashbacks but never fulfill it. 
Total Failure; not only once but three times. Neither i received cashback for referral neither got any cashback for booking a ticket via RailYatri partner app and even my JIO recharge got struck under processing for 2 days and i had no other option rather but to wait.. 
Their service team response is so bad it takes minimum 48 hrs to get a response after filing an issue with any transaction and thats too before solving an issue they close it and never reply.
Overall very unpromisable bakwas app 
Rather trust PayTm which is far better in its sincerity and quick services regarding cashbacks n offers..",1,FALSE,Veer24,Far Below standards
29-09-2017 01:47,"In my iphone 6 this app is working but transactions , balance checking options are not working from last one month. Multiple time i tried to connect with customer support over the chat option given in the app and no one is looking into it. Waste of time.
Even bhim is good in support that this guys.",5,FALSE,Jesvin007,App not working for more than a month
22-10-2017 11:27,"I have used many payment apps like Paytm, airtel money but today when I used this phonepe app I like it very much it is far better than other apps which I have used later. I suggest to all at least one time they will use this app for transactions online by any paymt method. To phone pe",5,FALSE,lovieesingh,Easy and very fast
11-12-2017 03:57,"Mobile recharge plans are not properly available, Data plans are not working properly. It’s not showing the current updates, some plans when we recharge it not getting recharged. Please work on this. Now my PhonePe is completely not working",5,FALSE,frnds good,Mobile PhonePe
08-11-2017 14:59,Dont use this app for urgent basis needs it takes lot of time and after sometime they declined payment as failed transaction. And they take a whole lot of time to revert the amount to bank or wallet .,5,FALSE,pravi192,Poor transaction process take lot of time
31-12-2017 17:16,The app is now using push notification as an advertisement platform. Please respect the user and her attention. As of now I'm not planning to keep this app on the phone because of this annoyance. May revisit later if things improve.,5,FALSE,abdul_muneer,Abuse of notifications
23-10-2017 05:42,This is not reliable app. I don’t recommend this app.i have tried to make recharge amount of INR 120 3 times. I haven’t got recharge. I have registered ticket but I haven’t got solutions yet. I haven’t got message even return money from bank. So this really lethargic approach of PhonePe.,5,FALSE,Rjgajjar17,Not reliable app
06-11-2017 03:41,The app still has lots of nagging issues like while doing a datacard bill pay or electricity bill pay it doesn’t complete the transaction and saying looks like some issues and try once again and i tried multiple times but no luck😔,4,FALSE,Amit Rath,App nagging issue
18-12-2017 06:28,"Probably the 1st, and arguably the best UPI app for iPhone. I can seamlessly transfer money to other UPIs, bank accounts, transfer money across my own bank accounts (without having to type in my account number) and use it as a virtual wallet.",5,FALSE,Abhijeet B,This app can replace your banking app
18-12-2017 03:19,Similar to all payment bank wallet accounts phone pe is moving forward in giving offers more than the payment bank as I know Flipkart is tied with PhonePe as it owns and phonepe should also be supported to all ecommerce payments with more new things.,5,FALSE,devahari,PhonePe review
02-12-2017 08:41,Since last night the app is continuously crashing and phone randomly goes back to lock screen. Please fix this issue.,5,FALSE,Girish panicker,Needed urgent fix For app crashing and phone restarting
07-12-2017 20:05,Nothing is working after updated. All transactions are getting failed. Add card option and bank account are also failed. Worst app..!,5,FALSE,Thurum86,Performance issues
23-11-2017 04:56,"My cashback was not received and I raised a ticket on app. No one responded even after 1 week. Not even a single acknowledgement! Tried calling their phone support, was there for 9-10 min, no one turn up and all the time I was listening IVR recording!",5,FALSE,Ramauyt5,Worst PhonePe Support
16-11-2017 07:01,"Why is it necessary for you to have contacts access to recharge mobile? You must know that users CAN enter their number in normal text field, yes? Then why do you have to access ALL CONTACTS?",5,FALSE,chauhan130,Force access to contacts
20-09-2017 23:39,User gives you notification permissions just to get right notifications like the money oriented and not flipkart Notifications. Please stop promotional notifications. Its irritating!,5,FALSE,Yashpradhan,Using Notifications for wrong purpose
