date,review,rating,isEdited,title,userName,developerResponse
22-11-2017 17:06,"Hi,

First of all, i did not expect such a Pathetic app from ""Google"". and afcourse if you thought service from google would be class apart--> believe me its all fake.
Nobody addressess your concerns. Like the rest of the buisnessess Tez support also plays blame game with you. not to forget, their technical representative will
try to charm by the standard line "" sorry for the incoonvinience caused"". I am avid user of banking apps. let me tell you home banking apps are the best.
By the way TEZ does not know where the money lays if transaction fails(afcourse transaction failure is very common). When you call TEZ tech support they will 
redirect you to your refistered bank and provide you the contact number of the bank too. let also put some light on this, When i tried connecting to the  provided contact number of bank,
turns out the number do not exist. Seriously, can you guys not confirm before providing the correct information. By the way ill specify my registered bank with the app is HDFC.
Is it so difficult to provide correct number?
I made a transaction on 8th November and i still do not have the clarity to know where the money is, leave about getting it back.

As per the APP it says ""MONEY DEPOSITED IN RECIPIENTS BANK"". where di you pull this information from. Why is you contomer service representative not ready to confirm on the same.

Ultimately DISAPPOINTED WITH tez AND google",1,FALSE,Pathetic app,rottenblade397,
10-11-2017 05:25,"InShort: Your own money may get stuck for 60 days and you won’t be even able to report problem before 3 days. Worst support.
    Read In full:

I tend to use lots of payments app and always remain open minded when using them. Be it PhonePe, BHim, Chillr etc.. 
However Tez looks to have the most Un QC’d app of all of them. Now if this was a game or simple app which helps you in managing your phone then it would have been a different thing, but it’s our money Tez is playing with. 
I had a failure of ₹500+ once, talked with their customer support and I was assured the matter will be taken care off.
I had a 3 Times failure of money transfer since then. Now here is the real frustrating thing.. the “problem reporting” to Tez option of a “failed transfer” opens after 3 days. The money gets deducted immediately and I am waiting to get back my money for over a week. As per Tez this can take up to 60 days.
Update: 17 days down the line, I have not received and I do have 2 other friends whose money got stuck as well, BEWARE if you can.

Honestly I did not expect this from Google, I will have to report this to NPCI and earnestly hope that this app gets pulled off unless they make it reliable. Don’t play with our hard earned money.",1,FALSE,"Highly Buggy and unreliable app, save your time and money",Sajalb,
03-10-2017 17:14,"I totally would recommend this app for all the UPI users. I’ve been using UPI from the start, and I’ve used these other apps they are good but not as great as TEZ. First off the design is very simple and everyone can easily figure out how to use it the first time. I just wish if there was an option to check our bank account balance in the menu page itself rather than having go through 2-3 steps, if that’s added it’ll be much simpler to view bank balance directly from main page.",5,FALSE,Simple and great,ashu gupta,
18-11-2017 14:58,"Tez is not reliable. The money does not get credited to the receiver’s account. However, the sender’s account get debited. There is no process to get back the money into the sender’s account. We had done the transaction in full operator network mode. This has to be rectified ASAP otherwise, there is no point using Tez. Is there a process to escalate such transactions?  Request team to look into the issue and resolve ASAP. 

Thanks",5,FALSE,Money does not get credited in the receiver’s account,audittime,
22-09-2017 19:20,"The app is much slower than BHIM, PhonePe and other apps. It does fail in link and finding accounts many at times but that can definitely be improved over time. Cant judge so early since it been not even a week since it launch. 

The app’s cash mode is a unique innovation and seems like it will go a long way. By the way, cash mode, takes way longer than it should to work buy definitely works. 

The app has very high potential to take over the upcoming and existing markets.

With its referral offers and other schemes. It makes it even a more joyful experience.

It still has a long way to go before I can use it as much I use BHIM. Good job though google, keep working on it and I’m sure you will be there.",5,FALSE,Good but can improve,Diveshp747,
10-11-2017 08:35,"Very poor support 

I have issue with one of the payments I made. Money is debited from my account but is not credited to the person i intended to send. Neither have I received my money back 🙁 I tried contacting tez customer service, they just call you back and put you in wait list. No one ever responds. Wrote a mail and yet no response. If this is the way the app support works then it really scares me 😟 what if that payment was urgent??? It’s been 5 days now and I am stuck with no one to ask help for. I will never do any payment via Tez and will not recommend others too.",1,FALSE,Payment issue since 5 days!!,sahana naik,
18-09-2017 18:56,Otp verification took long. Had to try twice to get it to work. But adding the Icici bank account seems to really not work at all. Tried multiple times with many messages sent. No response. Will review it once everything is working again.,5,FALSE,Doesn't seem to support Icici bank at the moment,Abhay R K,"{'id': 1294246, 'body': ""Hi Abhay: sorry to hear that your experience adding an ICICI bank account didn't work well. We're seeing some issues due to higher-than-expected traffic. We're working towards a fix and appreciate your patience!"", 'modified': '2017-09-19T04:11:07Z'}"
18-09-2017 10:03,"This is best payment app, it has everything Scan and Pay, Through UPI Address, Through Bank Account and best of all Sound Wave Payment 👏🏻

My only concern is, please let us choose our own UPI Address because UPI Address you're assigning are our Email Addresses and it'll flood spam mails if we keep giving it to everyone.",5,FALSE,Great App for Payment,Sabya Majumdar,
19-09-2017 12:55,"Interface is quite new for the people who are used to PayTm stuff. Once start using it's way ahead than PayTm or any other UPI app for the matter of fact. All banks apps are integrated within the UI which talks to many things at a time to make transactions happen which adds more n more layers resulting frustration in simple payment stuff.

Pros: 
Simple UI
Advanced Tech
Google's Security
Direct Account Bank Credit 
Free of Charge (no charges) at all

Cons:
Still trying to figure out, nothing much found so far.

Note: Just try to get used to the new interface it's little overwhelmingly simple.",5,FALSE,Awesome!! Simple!!,Sr. Dev,
22-09-2017 10:06,The app works perfectly okay. Its a brilliant app. India will probably move towards a more cashless transaction dominant future with the help of this app. The cash mode is simply brilliant! Google’s security is reliable and hence i took the initiative to use the app myself and encourage people around me to use it too!,5,FALSE,Great app! A must have for all indians!,Arnab Sinha,
